Local,Nome,Logradouro,Latitude,Longitude
ESTACAO DE METRO,Ditmars Blvd,23rd Ave,40.775036,-73.912034
ESTACAO DE METRO,Ditmars Blvd,23rd Ave,40.775036,-73.912034
ESTACAO DE METRO,Ditmars Blvd,23rd Ave,40.775036,-73.912034
ESTACAO DE METRO,Ditmars Blvd,23rd Ave,40.775036,-73.912034
ESTACAO DE METRO,Astoria Blvd-Hoyt Av,Hoyt Ave South,40.770258,-73.917843
ESTACAO DE METRO,Astoria Blvd-Hoyt Av,Hoyt Ave South,40.770258,-73.917843
ESTACAO DE METRO,Astoria Blvd-Hoyt Av,Hoyt Ave North,40.770258,-73.917843
ESTACAO DE METRO,Astoria Blvd-Hoyt Av,Hoyt Ave North,40.770258,-73.917843
ESTACAO DE METRO,30 Av-Grand Av,30th Ave,40.766779,-73.921479
ESTACAO DE METRO,30 Av-Grand Av,30th Ave,40.766779,-73.921479
ESTACAO DE METRO,30 Av-Grand Av,30th Ave,40.766779,-73.921479
ESTACAO DE METRO,30 Av-Grand Av,30th Ave,40.766779,-73.921479
ESTACAO DE METRO,Broadway,Broadway,40.76182,-73.925508
ESTACAO DE METRO,Broadway,Broadway,40.76182,-73.925508
ESTACAO DE METRO,Broadway,Broadway,40.76182,-73.925508
ESTACAO DE METRO,36 Av-Washington Av,36th Ave,40.756804,-73.929575
ESTACAO DE METRO,36 Av-Washington Av,36th Ave,40.756804,-73.929575
ESTACAO DE METRO,36 Av-Washington Av,36th Ave,40.756804,-73.929575
ESTACAO DE METRO,39 Av-Beebe Av,39th Ave,40.752882,-73.932755
ESTACAO DE METRO,39 Av-Beebe Av,39th Ave,40.752882,-73.932755
ESTACAO DE METRO,5th Av,60th St,40.764811,-73.973347
ESTACAO DE METRO,5th Av,60th St,40.764811,-73.973347
ESTACAO DE METRO,5th Av,60th St,40.764811,-73.973347
ESTACAO DE METRO,5th Av,60th St,40.764811,-73.973347
ESTACAO DE METRO,57th St,57th St,40.764664,-73.980658
ESTACAO DE METRO,57th St,57th St,40.764664,-73.980658
ESTACAO DE METRO,57th St,57th St,40.764664,-73.980658
ESTACAO DE METRO,57th St,57th St,40.764664,-73.980658
ESTACAO DE METRO,49th St,49th St,40.759901,-73.984139
ESTACAO DE METRO,49th St,49th St,40.759901,-73.984139
ESTACAO DE METRO,28th St,28th St,40.745494,-73.988691
ESTACAO DE METRO,28th St,28th St,40.745494,-73.988691
ESTACAO DE METRO,23rd St,23rd St,40.741303,-73.989344
ESTACAO DE METRO,23rd St,23rd St,40.741303,-73.989344
ESTACAO DE METRO,23rd St,23rd St,40.741303,-73.989344
ESTACAO DE METRO,23rd St,23rd St,40.741303,-73.989344
ESTACAO DE METRO,Union Square,14th St,40.735736,-73.990568
ESTACAO DE METRO,8th St,8th Ave,40.730328,-73.992629
ESTACAO DE METRO,8th St,8th Ave,40.730328,-73.992629
ESTACAO DE METRO,Prince St,Prince St,40.724329,-73.997702
ESTACAO DE METRO,Prince St,Prince St,40.724329,-73.997702
ESTACAO DE METRO,City Hall,Warren St,40.713282,-74.006978
ESTACAO DE METRO,City Hall,Warren St,40.713282,-74.006978
ESTACAO DE METRO,City Hall,Warren St,40.713282,-74.006978
ESTACAO DE METRO,Cortlandt St,Dey St,40.710668,-74.011029
ESTACAO DE METRO,Cortlandt St,Dey St,40.710668,-74.011029
ESTACAO DE METRO,Rector St,Rector St,40.70722,-74.013342
ESTACAO DE METRO,Rector St,Rector St,40.70722,-74.013342
ESTACAO DE METRO,Rector St,Rector St,40.70722,-74.013342
ESTACAO DE METRO,Whitehall St,,40.703087,-74.012994
ESTACAO DE METRO,Whitehall St,,40.703087,-74.012994
ESTACAO DE METRO,Whitehall St,,40.703087,-74.012994
ESTACAO DE METRO,Lawrence St,Willoughby St,40.69218,-73.985942
ESTACAO DE METRO,Lawrence St,Willoughby St,40.69218,-73.985942
ESTACAO DE METRO,Lawrence St,Willoughby St,40.69218,-73.985942
ESTACAO DE METRO,Lawrence St,Willoughby St,40.69218,-73.985942
ESTACAO DE METRO,DeKalb Av,De Kalb Ave,40.690635,-73.981824
ESTACAO DE METRO,DeKalb Av,De Kalb Ave,40.690635,-73.981824
ESTACAO DE METRO,DeKalb Av,De Kalb Ave,40.690635,-73.981824
ESTACAO DE METRO,DeKalb Av,De Kalb Ave,40.690635,-73.981824
ESTACAO DE METRO,Atlantic Av-Barclays Ctr,Pacific St,40.683666,-73.97881
ESTACAO DE METRO,Pacific St,Pacific St,40.683666,-73.97881
ESTACAO DE METRO,Pacific St,Pacific St,40.683666,-73.97881
ESTACAO DE METRO,Union St,Union St,40.677316,-73.98311
ESTACAO DE METRO,Union St,Union St,40.677316,-73.98311
ESTACAO DE METRO,Union St,Union St,40.677316,-73.98311
ESTACAO DE METRO,9th St,9th St,40.670847,-73.988302
ESTACAO DE METRO,Prospect Av,Prospect Ave,40.665414,-73.992872
ESTACAO DE METRO,Prospect Av,Prospect Ave,40.665414,-73.992872
ESTACAO DE METRO,25th St,25th St,40.660397,-73.998091
ESTACAO DE METRO,36th St,36th St,40.655144,-74.003549
ESTACAO DE METRO,36th St,36th St,40.655144,-74.003549
ESTACAO DE METRO,36th St,36th St,40.655144,-74.003549
ESTACAO DE METRO,45th St,45th St,40.648939,-74.010006
ESTACAO DE METRO,45th St,45th St,40.648939,-74.010006
ESTACAO DE METRO,45th St,45th St,40.648939,-74.010006
ESTACAO DE METRO,45th St,45th St,40.648939,-74.010006
ESTACAO DE METRO,53rd St,53rd St,40.645069,-74.014034
ESTACAO DE METRO,53rd St,53rd St,40.645069,-74.014034
ESTACAO DE METRO,53rd St,53rd St,40.645069,-74.014034
ESTACAO DE METRO,53rd St,53rd St,40.645069,-74.014034
ESTACAO DE METRO,59th St,59th St,40.641362,-74.017881
ESTACAO DE METRO,59th St,59th St,40.641362,-74.017881
ESTACAO DE METRO,59th St,59th St,40.641362,-74.017881
ESTACAO DE METRO,59th St,59th St,40.641362,-74.017881
